winner = 2, loser = 1, round = 28
winner = 3, loser = 1, round = 27
winner = 4, loser = 1, round = 33
winner = 5, loser = 1, round = 21
winner = 1, loser = 2, round = 29
winner = 3, loser = 2, round = 32
winner = 4, loser = 2, round = 27
winner = 5, loser = 2, round = 23
winner = 1, loser = 3, round = 22
winner = 3, loser = 2, round = 24
winner = 3, loser = 4, round = 25
winner = 5, loser = 3, round = 30
winner = 4, loser = 1, round = 20
winner = 4, loser = 2, round = 37
winner = 4, loser = 3, round = 28
winner = 5, loser = 4, round = 37
winner = 1, loser = 5, round = 27
winner = 5, loser = 2, round = 26
winner = 3, loser = 5, round = 32
winner = 5, loser = 4, round = 33
